Unnamed: 0,car_name,model,vehicle_age,km_driven,mileage,engine,max_power,seats,selling_price,price_per_km,is_luxury,is_high_performance,is_fuel_efficient,brand_Audi,brand_BMW,brand_Bentley,brand_Datsun,brand_Ferrari,brand_Force,brand_Ford,brand_Honda,brand_Hyundai,brand_ISUZU,brand_Isuzu,brand_Jaguar,brand_Jeep,brand_Kia,brand_Land Rover,brand_Lexus,brand_MG,brand_Mahindra,brand_Maruti,brand_Maserati,brand_Mercedes-AMG,brand_Mercedes-Benz,brand_Mini,brand_Nissan,brand_Porsche,brand_Renault,brand_Rolls-Royce,brand_Skoda,brand_Tata,brand_Toyota,brand_Volkswagen,brand_Volvo,fuel_type_CNG,fuel_type_Diesel,fuel_type_Electric,fuel_type_LPG,fuel_type_Petrol,transmission_type_Automatic,transmission_type_Manual,seller_type_Dealer,seller_type_Individual,seller_type_Trustmark Dealer,age_category_New,age_category_Recent,age_category_Mature,age_category_Old,mileage_category_Low,mileage_category_Average,mileage_category_Good,mileage_category_Excellent
0,Maruti Alto,Alto,9,120000.0,19.7,796.0,46.3,5,120000.0,0.9999916667361105,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False
1,Hyundai Grand,Grand,5,20000.0,18.9,1197.0,82.0,5,550000.0,27.498625068746563,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,True,False,False
2,Hyundai i20,i20,11,60000.0,17.0,1197.0,80.0,5,215000.0,3.583273612106465,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False
3,Maruti Alto,Alto,9,37000.0,20.92,998.0,67.1,5,226000.0,6.107943028566796,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,True,False
4,Ford Ecosport,Ecosport,6,30000.0,22.77,1498.0,98.59,5,570000.0,18.999366687777073,0,0,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False
5,Maruti Wagon R,Wagon R,8,35000.0,18.9,998.0,67.1,5,350000.0,9.999714293877318,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False
6,Hyundai i10,i10,8,40000.0,20.36,1197.0,78.9,5,315000.0,7.874803129921752,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,True,False
7,Maruti Wagon R,Wagon R,3,17512.0,20.51,998.0,67.04,5,410000.0,23.41118026608805,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,False,False,False,True,False
8,Hyundai Venue,Venue,2,20000.0,18.15,998.0,118.35,5,1050000.0,52.49737513124344,0,1,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,True,False,False,False,False,True,False,False
12,Maruti Swift,Swift,4,28321.0,16.6,1197.0,85.0,5,511000.0,18.0425111220959,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,True,False,False,False,True,False,False
14,Hyundai Verna,Verna,8,65278.0,22.32,1582.0,126.32,5,425000.0,6.510516398841894,0,1,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False
15,Renault Duster,Duster,5,50000.0,19.64,1461.0,108.45,5,750000.0,14.99970000599988,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False
16,Mini Cooper,Cooper,4,6000.0,14.41,1998.0,182.25,5,1485000.0,247.45875687385436,1,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,True,False,False,True,False,False,False
17,Maruti Ciaz,Ciaz,5,76000.0,28.09,1248.0,88.5,5,650000.0,8.552519045802029,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True
18,Maruti Swift,Swift,5,20000.0,25.2,1248.0,74.0,5,627000.0,31.34843257837108,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True
19,Mercedes-Benz C-Class,C-Class,7,65000.0,19.27,2143.0,170.0,5,1425000.0,21.92273965015923,1,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False
20,Maruti Swift,Swift,7,62200.0,28.4,1248.0,74.0,5,425000.0,6.832687577370138,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True
21,Toyota Innova,Innova,8,110000.0,12.99,2159.5,100.6,8,605000.0,5.499950000454541,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False
22,Maruti Baleno,Baleno,6,20000.0,21.4,1197.0,83.1,5,600000.0,29.99850007499625,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,False
23,Maruti Swift Dzire,Swift Dzire,5,40000.0,20.85,1197.0,83.14,5,575000.0,14.37464063398415,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,False
25,Volkswagen Vento,Vento,8,47000.0,16.09,1598.0,103.2,5,425000.0,9.042360800834025,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True,False,False,False,False,True,False,False,True,False,False
26,Maruti Alto,Alto,8,25000.0,20.92,998.0,67.1,5,230000.0,9.19963201471941,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,True,False
27,Hyundai Creta,Creta,2,15000.0,19.67,1582.0,126.2,5,1225000.0,81.66122258516098,0,1,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False,False
29,Honda City,City,6,50000.0,17.4,1497.0,117.3,5,750000.0,14.99970000599988,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,True,False,False
30,Mahindra Bolero,Bolero,10,25000.0,13.6,2159.5,63.0,7,350000.0,13.999440022399105,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False
31,Maruti Swift Dzire,Swift Dzire,6,90000.0,26.59,1248.0,74.0,5,600000.0,6.666592593415629,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True
32,Maruti Swift Dzire,Swift Dzire,8,45000.0,26.59,1248.0,74.0,5,390000.0,8.666474078353815,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True
33,Honda City,City,14,77253.0,17.7,1497.0,78.0,5,145000.0,1.876925466642504,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,True,False,True,False,False
34,Hyundai i20,i20,3,25000.0,17.19,1197.0,81.86,5,700000.0,27.99888004479821,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False
35,Toyota Fortuner,Fortuner,8,110000.0,13.0,2159.5,168.5,7,1150000.0,10.454450414087145,0,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False
36,Renault KWID,KWID,4,30000.0,23.01,999.0,67.0,5,340000.0,11.332955568147728,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,False
37,Honda Amaze,Amaze,5,39993.0,18.6,1199.0,88.76,5,465000.0,11.62674401160174,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,True,False,False,False,True,False,False
38,Hyundai Santro,Santro,12,80000.0,17.92,1086.0,62.1,5,125000.0,1.5624804689941376,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False
39,Mahindra XUV500,XUV500,9,130000.0,15.1,2159.5,140.0,7,600000.0,4.615349112699133,0,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False
40,Maruti Swift Dzire,Swift Dzire,8,90000.0,23.4,1248.0,74.0,5,380000.0,4.222175309163232,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False
44,Hyundai i20,i20,3,15000.0,22.54,1396.0,88.73,5,850000.0,56.662889140723955,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False
45,Hyundai i20,i20,3,40000.0,18.6,1197.0,81.83,5,598000.0,14.949626259343516,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False
46,Honda City,City,6,31180.0,18.0,1497.0,117.3,5,700000.0,22.449568647573845,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,True,False,False,False,True,False,False
50,Maruti Swift Dzire,Swift Dzire,7,56000.0,23.4,1248.0,74.0,5,410000.0,7.32129783396725,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False
53,Maruti Baleno,Baleno,5,52427.0,21.4,1197.0,83.1,5,590000.0,11.253528648813612,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,True,False,False,False,False,True,False
54,Mahindra Bolero,Bolero,1,40000.0,21.0,1498.0,74.96,7,850000.0,21.24946876328092,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False
56,Mahindra KUV100,KUV100,3,17000.0,18.15,1198.0,82.0,5,550000.0,32.351038174225046,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False
58,Maruti Baleno,Baleno,5,22000.0,15.4,1590.0,94.0,5,625000.0,28.40779964547066,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,True,False,False,False,True,False,False
59,Maruti Swift Dzire,Swift Dzire,5,54000.0,20.85,1197.0,83.14,5,600000.0,11.110905353604563,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,False
60,Maruti Wagon R,Wagon R,2,10000.0,20.51,998.0,67.04,5,445000.0,44.495550444955505,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False
61,Maruti Ignis,Ignis,2,20000.0,20.89,1197.0,81.8,5,530000.0,26.498675066246687,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False
63,Maruti Wagon R,Wagon R,3,53237.0,26.6,998.0,58.16,5,410000.0,7.701266012998234,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,True
64,Datsun RediGO,RediGO,3,27263.0,22.5,999.0,68.0,5,350000.0,12.83744131455399,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False
66,Hyundai Verna,Verna,7,110000.0,22.32,1582.0,126.3,5,520000.0,4.727229752456796,0,1,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False
67,Hyundai i20,i20,5,70000.0,22.54,1396.0,88.73,5,750000.0,10.714132655247782,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False
68,Maruti Swift Dzire,Swift Dzire,4,70000.0,26.59,1248.0,74.0,5,560000.0,7.999885715918344,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True
71,Hyundai i20,i20,2,39000.0,18.6,1197.0,81.83,5,655000.0,16.794441168175176,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,False,False,True,False,False
72,Hyundai Santro,Santro,14,56000.0,17.8,1086.0,63.0,5,125000.0,2.232102998160747,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,True,False,True,False,False
75,Hyundai i20,i20,3,34000.0,18.6,1197.0,81.83,5,550000.0,16.175994823681656,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False
76,Mahindra Scorpio,Scorpio,4,50000.0,15.4,1997.0,120.0,7,1150000.0,22.999540009199816,0,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False
77,Volkswagen Vento,Vento,9,77400.0,20.54,1598.0,103.6,5,500000.0,6.459864859627136,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False
78,Mahindra Marazzo,Marazzo,2,36000.0,17.3,1497.0,121.0,7,990000.0,27.499236132329656,0,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False,False
79,Hyundai Verna,Verna,8,47876.0,25.0,1493.0,113.42,5,551000.0,11.508657601771205,0,0,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False
80,Mahindra XUV500,XUV500,3,21500.0,15.1,2159.5,152.87,7,1485000.0,69.06655504395144,0,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False
81,Hyundai Grand,Grand,6,75000.0,24.0,1120.0,70.0,5,350000.0,4.666604445274063,0,0,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False
82,Ford Aspire,Aspire,4,58000.0,18.16,1196.0,86.8,5,500000.0,8.620541025154738,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,True,False,False,False,True,False,False
83,Maruti Swift Dzire,Swift Dzire,3,30000.0,21.21,1197.0,81.8,5,575000.0,19.166027799073365,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False
84,Hyundai Grand,Grand,3,50000.0,24.0,1186.0,73.97,5,545000.0,10.899782004359913,0,0,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False
85,Ford Figo,Figo,4,19093.0,18.16,1196.0,86.8,5,525000.0,27.495548339792606,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,True,False,False
86,Honda Amaze,Amaze,7,50000.0,18.0,1198.0,86.7,5,400000.0,7.999840003199936,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,True,False,False
87,Maruti Wagon R,Wagon R,15,37000.0,14.0,1061.0,64.0,5,155000.0,4.1890759709197045,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,True,True,False,False,False
89,Maruti Swift Dzire,Swift Dzire,5,47000.0,26.59,1248.0,74.0,5,545000.0,11.595497968128338,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True
90,Honda City,City,8,70000.0,16.8,1497.0,116.3,5,545000.0,7.785603062813388,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False
91,Renault KWID,KWID,5,25000.0,25.17,799.0,53.3,5,240000.0,9.599616015359386,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,False,True
92,Maruti Vitara,Vitara,3,26000.0,24.3,1248.0,88.5,5,725000.0,27.883542940656127,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,False
93,Ford Aspire,Aspire,4,30000.0,18.16,1196.0,86.8,5,480000.0,15.999466684443853,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,True,False,False
94,Hyundai i20,i20,8,15000.0,18.5,1197.0,82.9,5,375000.0,24.998333444437037,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False
95,Maruti Swift,Swift,10,130000.0,17.8,1248.0,75.0,5,225000.0,1.730755917262175,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False
96,Tata Tiago,Tiago,4,32100.0,23.84,1199.0,84.0,5,400000.0,12.460671007133735,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,False
97,Hyundai i20,i20,5,22000.0,18.5,1197.0,82.9,5,550000.0,24.998863688014183,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,True,False,False,False,True,False,False
98,Mahindra Scorpio,Scorpio,5,44000.0,15.4,2159.5,120.0,7,1050000.0,23.86309402059044,0,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False
