Unnamed: 0,car_name,brand,model,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price,price_per_km,age_category,mileage_category,is_luxury,is_high_performance,is_fuel_efficient
0,Maruti Alto,Maruti,Alto,9,120000.0,Individual,Petrol,Manual,19.7,796.0,46.3,5,120000.0,0.9999916667361105,Mature,Average,0,0,0
1,Hyundai Grand,Hyundai,Grand,5,20000.0,Individual,Petrol,Manual,18.9,1197.0,82.0,5,550000.0,27.498625068746563,Recent,Average,0,0,0
2,Hyundai i20,Hyundai,i20,11,60000.0,Individual,Petrol,Manual,17.0,1197.0,80.0,5,215000.0,3.583273612106465,Mature,Average,0,0,0
3,Maruti Alto,Maruti,Alto,9,37000.0,Individual,Petrol,Manual,20.92,998.0,67.1,5,226000.0,6.107943028566796,Mature,Good,0,0,0
4,Ford Ecosport,Ford,Ecosport,6,30000.0,Dealer,Diesel,Manual,22.77,1498.0,98.59,5,570000.0,18.999366687777073,Recent,Good,0,0,1
5,Maruti Wagon R,Maruti,Wagon R,8,35000.0,Individual,Petrol,Manual,18.9,998.0,67.1,5,350000.0,9.999714293877318,Mature,Average,0,0,0
6,Hyundai i10,Hyundai,i10,8,40000.0,Dealer,Petrol,Manual,20.36,1197.0,78.9,5,315000.0,7.874803129921752,Mature,Good,0,0,0
7,Maruti Wagon R,Maruti,Wagon R,3,17512.0,Dealer,Petrol,Manual,20.51,998.0,67.04,5,410000.0,23.41118026608805,New,Good,0,0,0
8,Hyundai Venue,Hyundai,Venue,2,20000.0,Individual,Petrol,Automatic,18.15,998.0,118.35,5,1050000.0,52.49737513124344,New,Average,0,1,0
12,Maruti Swift,Maruti,Swift,4,28321.0,Dealer,Petrol,Manual,16.6,1197.0,85.0,5,511000.0,18.0425111220959,Recent,Average,0,0,0
14,Hyundai Verna,Hyundai,Verna,8,65278.0,Dealer,Diesel,Manual,22.32,1582.0,126.32,5,425000.0,6.510516398841894,Mature,Good,0,1,0
15,Renault Duster,Renault,Duster,5,50000.0,Individual,Diesel,Manual,19.64,1461.0,108.45,5,750000.0,14.99970000599988,Recent,Average,0,0,0
16,Mini Cooper,Mini,Cooper,4,6000.0,Dealer,Petrol,Automatic,14.41,1998.0,182.25,5,1485000.0,247.45875687385436,Recent,Low,1,1,0
